"region","year","total","black_slaves_norm","black_free_norm","status","people"
"USA Total",1870,38558371,0,1,"white",33589377
"USA Total",1870,38558371,0,1,"black_slaves",0
"USA Total",1870,38558371,0,1,"black_free",4880009
"USA Total",1870,38558371,0,1,"black",4880009
"USA Total",1860,31443321,0.890119613,0.109880387,"white",26922537
"USA Total",1860,31443321,0.890119613,0.109880387,"black_slaves",3953760
"USA Total",1860,31443321,0.890119613,0.109880387,"black_free",488070
"USA Total",1860,31443321,0.890119613,0.109880387,"black",4441830
"USA Total",1850,23191876,0.88059414,0.11940586,"white",19553068
"USA Total",1850,23191876,0.88059414,0.11940586,"black_slaves",3204313
"USA Total",1850,23191876,0.88059414,0.11940586,"black_free",434495
"USA Total",1850,23191876,0.88059414,0.11940586,"black",3638808
"USA Total",1840,17063353,0.865574002,0.134425998,"white",14189705
"USA Total",1840,17063353,0.865574002,0.134425998,"black_slaves",2487355
"USA Total",1840,17063353,0.865574002,0.134425998,"black_free",386293
"USA Total",1840,17063353,0.865574002,0.134425998,"black",2873648
"USA Total",1830,12860702,0.733922604,0.266077396,"white",10532060
"USA Total",1830,12860702,0.733922604,0.266077396,"black_slaves",1709043
"USA Total",1830,12860702,0.733922604,0.266077396,"black_free",619599
"USA Total",1830,12860702,0.733922604,0.266077396,"black",2328642
"USA Total",1820,9638453,0.86812677,0.13187323,"white",7866797
"USA Total",1820,9638453,0.86812677,0.13187323,"black_slaves",1538022
"USA Total",1820,9638453,0.86812677,0.13187323,"black_free",233634
"USA Total",1820,9638453,0.86812677,0.13187323,"black",1771656
"USA Total",1810,7239881,0.864679259,0.135320741,"white",5862073
"USA Total",1810,7239881,0.864679259,0.135320741,"black_slaves",1191362
"USA Total",1810,7239881,0.864679259,0.135320741,"black_free",186446
"USA Total",1810,7239881,0.864679259,0.135320741,"black",1377808
"USA Total",1800,5308483,0.891785433,0.108214567,"white",4306446
"USA Total",1800,5308483,0.891785433,0.108214567,"black_slaves",893602
"USA Total",1800,5308483,0.891785433,0.108214567,"black_free",108435
"USA Total",1800,5308483,0.891785433,0.108214567,"black",1002037
"USA Total",1790,3929214,0.921386198,0.078613802,"white",3172006
"USA Total",1790,3929214,0.921386198,0.078613802,"black_slaves",697681
"USA Total",1790,3929214,0.921386198,0.078613802,"black_free",59527
"USA Total",1790,3929214,0.921386198,0.078613802,"black",757208
"Northeast",1870,12298730,0,1,"white",12117269
"Northeast",1870,12298730,0,1,"black_slaves",0
"Northeast",1870,12298730,0,1,"black_free",179738
"Northeast",1870,12298730,0,1,"black",179738
"Northeast",1860,10594268,0.000115384,0.999884616,"white",10438028
"Northeast",1860,10594268,0.000115384,0.999884616,"black_slaves",18
"Northeast",1860,10594268,0.000115384,0.999884616,"black_free",155983
"Northeast",1860,10594268,0.000115384,0.999884616,"black",156001
"Northeast",1850,8626851,0.001575834,0.998424166,"white",8477089
"Northeast",1850,8626851,0.001575834,0.998424166,"black_slaves",236
"Northeast",1850,8626851,0.001575834,0.998424166,"black_free",149526
"Northeast",1850,8626851,0.001575834,0.998424166,"black",149762
"Northeast",1840,6761082,0.00537506,0.99462494,"white",6618758
"Northeast",1840,6761082,0.00537506,0.99462494,"black_slaves",765
"Northeast",1840,6761082,0.00537506,0.99462494,"black_free",141559
"Northeast",1840,6761082,0.00537506,0.99462494,"black",142324
"Northeast",1830,5542381,0.02220199,0.97779801,"white",5417167
"Northeast",1830,5542381,0.02220199,0.97779801,"black_slaves",2780
"Northeast",1830,5542381,0.02220199,0.97779801,"black_free",122434
"Northeast",1830,5542381,0.02220199,0.97779801,"black",125214
"Northeast",1820,4359916,0.162575413,0.837424587,"white",4249192
"Northeast",1820,4359916,0.162575413,0.837424587,"black_slaves",18001
"Northeast",1820,4359916,0.162575413,0.837424587,"black_free",92723
"Northeast",1820,4359916,0.162575413,0.837424587,"black",110724
"Northeast",1810,3486675,0.264884533,0.735115467,"white",3384438
"Northeast",1810,3486675,0.264884533,0.735115467,"black_slaves",27081
"Northeast",1810,3486675,0.264884533,0.735115467,"black_free",75156
